 Fichier données	 Tps de résolution 	 Best solution
Data/Inst1.txt	5.08154	816
Data/Inst2.txt	33.0436	876
Data/Inst3.txt	36.3863	1002
Data/Inst4.txt	53.7706	1062
Data/Inst5.txt	54.0823	1044
Data/Inst6.txt	32.2503	1200
Data/Inst7.txt	18.9649	1056
Data/Inst8.txt	52.4175	1080
Data/Inst9.txt	51.4203	1134
Data/Inst10.txt	8.94458	1068
Data/Inst11.txt	44.2106	1230
Data/Inst12.txt	1.60094	1410
Data/Inst13.txt	0.0139366	160
Data/Inst14.txt	0.036078	241
Data/Inst15.txt	4.98266	367
Data/Inst16.txt	2.09475	399
Data/Inst17.txt	0.0783302	393
Data/Inst18.txt	3.39788	504
Data/Inst19.txt	9.20356	504
Data/Inst20.txt	1.43844	504
Data/Inst21.txt	0.899684	567
Data/Inst22.txt	18.5324	1088
Data/Inst23.txt	49.705	1158
Data/Inst24.txt	56.2667	1100
Data/Inst25.txt	43.0689	1013
Data/Inst26.txt	51.6338	1143
Data/Inst27.txt	51.3289	1154
